time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-12-26 00:00:00+00:00,3,3,138,37
2022-12-27 00:00:00+00:00,2,2,118,44
2022-12-28 00:00:00+00:00,2,2,103,30
2022-12-29 00:00:00+00:00,3,3,169,42
2022-12-30 00:00:00+00:00,5,4,153,37
2022-12-31 00:00:00+00:00,2,2,143,40
2023-01-01 00:00:00+00:00,5,5,128,42
2023-01-02 00:00:00+00:00,1,1,99,28
2023-01-03 00:00:00+00:00,7,4,92,36
2023-01-04 00:00:00+00:00,8,6,63,25
2023-01-05 00:00:00+00:00,2,2,45,17
2023-01-06 00:00:00+00:00,2,2,142,33
2023-01-07 00:00:00+00:00,2,2,132,54
2023-01-08 00:00:00+00:00,3,2,151,38
2023-01-09 00:00:00+00:00,4,4,57,26
2023-01-10 00:00:00+00:00,5,5,67,25
2023-01-11 00:00:00+00:00,1,1,122,35
2023-01-12 00:00:00+00:00,2,2,93,26
2023-01-13 00:00:00+00:00,2,2,49,22
2023-01-14 00:00:00+00:00,2,2,50,15
2023-01-15 00:00:00+00:00,2,2,53,26
2023-01-16 00:00:00+00:00,3,3,91,30
2023-01-17 00:00:00+00:00,2,2,72,24
2023-01-18 00:00:00+00:00,1,1,61,22
2023-01-19 00:00:00+00:00,2,2,32,18
2023-01-20 00:00:00+00:00,1,1,47,13
2023-01-21 00:00:00+00:00,1,1,102,27
2023-01-22 00:00:00+00:00,1,1,42,20
2023-01-23 00:00:00+00:00,4,4,46,15
2023-01-24 00:00:00+00:00,4,2,33,19
2023-01-25 00:00:00+00:00,4,2,24,17
2023-01-26 00:00:00+00:00,4,2,55,23
2023-01-27 00:00:00+00:00,5,3,45,15
2023-01-28 00:00:00+00:00,5,3,48,18
2023-01-29 00:00:00+00:00,8,6,40,19
2023-01-30 00:00:00+00:00,5,3,40,17
2023-01-31 00:00:00+00:00,6,4,43,23
2023-02-01 00:00:00+00:00,5,3,34,21
2023-02-02 00:00:00+00:00,7,5,43,20
2023-02-03 00:00:00+00:00,6,3,53,24
2023-02-04 00:00:00+00:00,9,5,60,21
2023-02-05 00:00:00+00:00,1,1,88,26
2023-02-06 00:00:00+00:00,3,3,51,22
