url_path,views_total,views_unique
/hgalytoby/MyselfAnimeDownloader,210,134
/hgalytoby/MyselfAnimeDownloader/releases,67,54
/hgalytoby/MyselfAnimeDownloader/tree/master/Share,44,13
/hgalytoby/MyselfAnimeDownloader/issues/5,41,37
/hgalytoby/MyselfAnimeDownloader/releases/tag/Ver1.1.15,26,20
/hgalytoby/MyselfAnimeDownloader/blob/master/Share/myself.py,16,5
/hgalytoby/MyselfAnimeDownloader/issues/20,12,12
/hgalytoby/MyselfAnimeDownloader/issues,11,5
/hgalytoby/MyselfAnimeDownloader/blob/master/main.py,8,3
/hgalytoby/MyselfAnimeDownloader/tree/master/UI,8,3
