url_path,views_total,views_unique
/hgalytoby/MyselfAnimeDownloader,133,70
/hgalytoby/MyselfAnimeDownloader/releases,27,21
/hgalytoby/MyselfAnimeDownloader/blob/master/myself_thread.py,22,1
/hgalytoby/MyselfAnimeDownloader/releases/tag/Ver1.1.15,16,13
/hgalytoby/MyselfAnimeDownloader/tree/master/Share,6,4
/hgalytoby/MyselfAnimeDownloader/blob/master/Share/myself.py,6,1
/hgalytoby/MyselfAnimeDownloader/issues/20,4,4
/hgalytoby/MyselfAnimeDownloader/blob/master/main.py,4,2
/hgalytoby/MyselfAnimeDownloader/blob/master/requirements.txt,3,3
/hgalytoby/MyselfAnimeDownloader/blob/master/README.md,2,2
