url_path,views_total,views_unique
/hgalytoby/MyselfAnimeDownloader,719,323
/hgalytoby/MyselfAnimeDownloader/releases,199,134
/hgalytoby/MyselfAnimeDownloader/issues,147,53
/hgalytoby/MyselfAnimeDownloader/releases/tag/Ver1.1.15,128,91
/hgalytoby/MyselfAnimeDownloader/tree/master/Share,121,44
/hgalytoby/MyselfAnimeDownloader/issues/44,106,39
/hgalytoby/MyselfAnimeDownloader/issues/45,60,38
/hgalytoby/MyselfAnimeDownloader/issues/14,53,29
/hgalytoby/MyselfAnimeDownloader/blob/master/UpdateLog.md,50,20
/hgalytoby/MyselfAnimeDownloader/blob/master/Share/myself.py,45,12
