url_path,views_total,views_unique
/hgalytoby/MyselfAnimeDownloader,707,353
/hgalytoby/MyselfAnimeDownloader/releases,188,126
/hgalytoby/MyselfAnimeDownloader/issues,97,41
/hgalytoby/MyselfAnimeDownloader/releases/tag/Ver1.1.13,81,67
/hgalytoby/MyselfAnimeDownloader/tree/master/Share,58,47
/hgalytoby/MyselfAnimeDownloader/blob/master/UpdateLog.md,51,41
/hgalytoby/MyselfAnimeDownloader/find/master,45,39
/hgalytoby/MyselfAnimeDownloader/issues/5,36,33
/hgalytoby/MyselfAnimeDownloader/issues/32,36,16
/hgalytoby/MyselfAnimeDownloader/commit/3cdbe001cfe1c0204e05bafa8a89282507396e49,35,26
