url_path,views_total,views_unique
/hgalytoby/MyselfAnimeDownloader,120,70
/hgalytoby/MyselfAnimeDownloader/releases/tag/Ver1.1.15,28,21
/hgalytoby/MyselfAnimeDownloader/releases,24,18
/hgalytoby/MyselfAnimeDownloader/blob/master/myself_thread.py,22,1
/hgalytoby/MyselfAnimeDownloader/issues/20,9,7
/hgalytoby/MyselfAnimeDownloader/issues,9,3
/hgalytoby/MyselfAnimeDownloader/issues/44,5,2
/hgalytoby/MyselfAnimeDownloader/tree/master/Share,3,3
/hgalytoby/MyselfAnimeDownloader/discussions/47,2,2
/hgalytoby/MyselfAnimeDownloader/commit/5194c5fb8a69aee31c54651b04b4f9036ee54f39,2,1
