time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-25 00:00:00+00:00,17,7,36,15
2025-10-26 00:00:00+00:00,21,10,25,10
2025-10-27 00:00:00+00:00,6,6,8,6
2025-10-28 00:00:00+00:00,24,14,9,8
2025-10-29 00:00:00+00:00,2,2,24,11
2025-10-30 00:00:00+00:00,4,3,10,9
2025-10-31 00:00:00+00:00,3,3,12,8
2025-11-01 00:00:00+00:00,14,4,6,3
2025-11-02 00:00:00+00:00,3,3,15,8
2025-11-03 00:00:00+00:00,14,5,9,5
2025-11-04 00:00:00+00:00,8,5,31,10
2025-11-05 00:00:00+00:00,12,7,7,4
2025-11-06 00:00:00+00:00,10,5,14,11
2025-11-07 00:00:00+00:00,1,1,15,3
