time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-04 00:00:00+00:00,8,4,16,9
2026-04-05 00:00:00+00:00,17,8,14,7
2026-04-06 00:00:00+00:00,7,3,33,15
2026-04-07 00:00:00+00:00,10,5,65,11
2026-04-08 00:00:00+00:00,4,4,20,11
2026-04-09 00:00:00+00:00,22,9,47,12
2026-04-10 00:00:00+00:00,27,10,40,9
2026-04-11 00:00:00+00:00,7,7,14,4
2026-04-12 00:00:00+00:00,16,6,26,9
2026-04-13 00:00:00+00:00,18,8,10,6
2026-04-14 00:00:00+00:00,31,9,7,6
2026-04-15 00:00:00+00:00,16,7,6,4
2026-04-16 00:00:00+00:00,19,6,13,6
2026-04-17 00:00:00+00:00,12,7,19,8
