url_path,views_total,views_unique
/hgalytoby/MyselfAnimeDownloader,93,56
/hgalytoby/MyselfAnimeDownloader/releases,14,11
/hgalytoby/MyselfAnimeDownloader/tree/master/Share,10,8
/hgalytoby/MyselfAnimeDownloader/releases/tag/Ver1.1.15,9,8
/hgalytoby/MyselfAnimeDownloader/issues,8,6
/hgalytoby/MyselfAnimeDownloader/tree/master,4,3
/hgalytoby/MyselfAnimeDownloader/blob/master/UpdateLog.md,4,1
/hgalytoby/MyselfAnimeDownloader/discussions/47,2,2
/hgalytoby/MyselfAnimeDownloader/tree/master/.github/workflows,2,2
/hgalytoby/MyselfAnimeDownloader/actions,1,1
