url_path,views_total,views_unique
/hgalytoby/MyselfAnimeDownloader,103,66
/hgalytoby/MyselfAnimeDownloader/releases,37,27
/hgalytoby/MyselfAnimeDownloader/releases/tag/Ver1.1.15,10,9
/hgalytoby/MyselfAnimeDownloader/tree/master/Share,8,6
/hgalytoby/MyselfAnimeDownloader/issues/5,5,4
/hgalytoby/MyselfAnimeDownloader/issues,5,3
/hgalytoby/MyselfAnimeDownloader/issues/20,4,4
/hgalytoby/MyselfAnimeDownloader/tree/master/.github/workflows,4,4
/hgalytoby/MyselfAnimeDownloader/issues/14,4,3
/hgalytoby/MyselfAnimeDownloader/tree/master,4,2
