url_path,views_total,views_unique
/hgalytoby/MyselfAnimeDownloader,161,85
/hgalytoby/MyselfAnimeDownloader/releases,52,39
/hgalytoby/MyselfAnimeDownloader/releases/tag/Ver1.1.15,25,18
/hgalytoby/MyselfAnimeDownloader/issues,14,12
/hgalytoby/MyselfAnimeDownloader/issues/44,10,10
/hgalytoby/MyselfAnimeDownloader/blob/master/UpdateLog.md,9,8
/hgalytoby/MyselfAnimeDownloader/issues/14,7,5
/hgalytoby/MyselfAnimeDownloader/commit/deb1cead2e1885058bd635e83eb99331f3254b20,7,3
/hgalytoby/MyselfAnimeDownloader/issues/20,5,5
/hgalytoby/MyselfAnimeDownloader/tree/master/Share,4,3
