referrer,views_total,views_unique
Google,1245,338
github.com,220,39
r.lihkg.com,62,39
l.facebook.com,19,4
plurk.com,14,5
tw.search.yahoo.com,14,1
DuckDuckGo,10,1
Bing,6,3
com.google.android.gm,5,1
facebook.com,5,1
