url_path,views_total,views_unique
/hgalytoby/MyselfAnimeDownloader,117,75
/hgalytoby/MyselfAnimeDownloader/releases,43,30
/hgalytoby/MyselfAnimeDownloader/releases/tag/Ver1.1.15,21,17
/hgalytoby/MyselfAnimeDownloader/issues,10,6
/hgalytoby/MyselfAnimeDownloader/tree/master/Share,9,8
/hgalytoby/MyselfAnimeDownloader/issues/20,7,6
/hgalytoby/MyselfAnimeDownloader/issues/44,7,5
/hgalytoby/MyselfAnimeDownloader/tree/master,4,3
/hgalytoby/MyselfAnimeDownloader/issues/45,4,2
/hgalytoby/MyselfAnimeDownloader/blob/master/UpdateLog.md,3,3
