url_path,views_total,views_unique
/hgalytoby/MyselfAnimeDownloader,239,127
/hgalytoby/MyselfAnimeDownloader/releases,93,62
/hgalytoby/MyselfAnimeDownloader/releases/tag/Ver1.1.15,34,27
/hgalytoby/MyselfAnimeDownloader/blob/master/UpdateLog.md,31,10
/hgalytoby/MyselfAnimeDownloader/issues/5,28,22
/hgalytoby/MyselfAnimeDownloader/tree/master/Share,22,9
/hgalytoby/MyselfAnimeDownloader/issues/20,16,13
/hgalytoby/MyselfAnimeDownloader/issues,15,9
/hgalytoby/MyselfAnimeDownloader/blob/master/README.md,15,5
/hgalytoby/MyselfAnimeDownloader/blob/master/Share/README.md,13,3
