url_path,views_total,views_unique
/hgalytoby/MyselfAnimeDownloader,133,81
/hgalytoby/MyselfAnimeDownloader/releases,40,37
/hgalytoby/MyselfAnimeDownloader/releases/tag/Ver1.1.15,19,16
/hgalytoby/MyselfAnimeDownloader/issues,16,9
/hgalytoby/MyselfAnimeDownloader/tree/master/Share,12,11
/hgalytoby/MyselfAnimeDownloader/issues/20,9,8
/hgalytoby/MyselfAnimeDownloader/issues/44,8,7
/hgalytoby/MyselfAnimeDownloader/blob/master/myself_thread.py,7,3
/hgalytoby/MyselfAnimeDownloader/discussions/47,5,5
/hgalytoby/MyselfAnimeDownloader/tree/master,4,3
