time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-08-23 00:00:00+00:00,,,38,13
2022-08-24 00:00:00+00:00,,,19,11
2022-08-25 00:00:00+00:00,1.0,1.0,98,8
2022-08-26 00:00:00+00:00,7.0,5.0,72,16
2022-08-27 00:00:00+00:00,7.0,4.0,213,24
2022-08-28 00:00:00+00:00,,,18,13
2022-08-29 00:00:00+00:00,3.0,2.0,63,11
2022-08-30 00:00:00+00:00,5.0,2.0,14,10
2022-08-31 00:00:00+00:00,,,33,14
2022-09-01 00:00:00+00:00,1.0,1.0,58,18
2022-09-02 00:00:00+00:00,,,28,14
2022-09-03 00:00:00+00:00,,,56,20
2022-09-04 00:00:00+00:00,,,33,19
2022-09-05 00:00:00+00:00,2.0,2.0,99,11
