url_path,views_total,views_unique
/hgalytoby/MyselfAnimeDownloader,74,54
/hgalytoby/MyselfAnimeDownloader/releases,24,21
/hgalytoby/MyselfAnimeDownloader/releases/tag/Ver1.1.15,22,15
/hgalytoby/MyselfAnimeDownloader/issues,6,6
/hgalytoby/MyselfAnimeDownloader/issues/40,3,1
/hgalytoby/MyselfAnimeDownloader/blob/master/UpdateLog.md,2,2
/hgalytoby/MyselfAnimeDownloader/discussions/47,2,2
/hgalytoby/MyselfAnimeDownloader/releases/tag/Ver1.1.14,2,2
/hgalytoby/MyselfAnimeDownloader/tree/master/.github/workflows,2,2
/hgalytoby/MyselfAnimeDownloader/tree/master/Share,2,2
