url_path,views_total,views_unique
/hgalytoby/MyselfAnimeDownloader,261,150
/hgalytoby/MyselfAnimeDownloader/releases,84,59
/hgalytoby/MyselfAnimeDownloader/releases/tag/Ver1.1.15,35,25
/hgalytoby/MyselfAnimeDownloader/blob/master/myself_thread.py,35,6
/hgalytoby/MyselfAnimeDownloader/tree/master/Share,24,11
/hgalytoby/MyselfAnimeDownloader/issues/5,22,21
/hgalytoby/MyselfAnimeDownloader/issues/20,15,14
/hgalytoby/MyselfAnimeDownloader/issues,15,11
/hgalytoby/MyselfAnimeDownloader/tree/master/hgalytoby/MyselfAnimeDownloader,14,3
/hgalytoby/MyselfAnimeDownloader/blob/master/UpdateLog.md,12,5
