url_path,views_total,views_unique
/hgalytoby/MyselfAnimeDownloader,215,122
/hgalytoby/MyselfAnimeDownloader/releases,55,44
/hgalytoby/MyselfAnimeDownloader/tree/master/Share,43,13
/hgalytoby/MyselfAnimeDownloader/blob/master/myself_tools.py,33,3
/hgalytoby/MyselfAnimeDownloader/releases/tag/Ver1.1.15,32,26
/hgalytoby/MyselfAnimeDownloader/blob/master/Share/myself.py,26,4
/hgalytoby/MyselfAnimeDownloader/issues,22,7
/hgalytoby/MyselfAnimeDownloader/issues/5,21,20
/hgalytoby/MyselfAnimeDownloader/issues/20,15,12
/hgalytoby/MyselfAnimeDownloader/blob/master/myself_thread.py,15,4
