time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-22 00:00:00+00:00,4.0,2.0,15,9
2025-02-23 00:00:00+00:00,4.0,2.0,13,10
2025-02-24 00:00:00+00:00,4.0,2.0,8,4
2025-02-25 00:00:00+00:00,4.0,2.0,28,13
2025-02-26 00:00:00+00:00,3.0,2.0,20,9
2025-02-27 00:00:00+00:00,3.0,3.0,27,12
2025-02-28 00:00:00+00:00,5.0,2.0,7,2
2025-03-01 00:00:00+00:00,5.0,3.0,5,3
2025-03-02 00:00:00+00:00,4.0,2.0,11,6
2025-03-03 00:00:00+00:00,2.0,2.0,15,9
2025-03-04 00:00:00+00:00,1.0,1.0,9,6
2025-03-05 00:00:00+00:00,1.0,1.0,22,6
2025-03-06 00:00:00+00:00,3.0,2.0,17,5
2025-03-07 00:00:00+00:00,,,13,5
