referrer,views_total,views_unique
Google,519,200
github.com,114,23
l.facebook.com,22,8
m.facebook.com,8,4
lm.facebook.com,7,6
DuckDuckGo,7,2
youtube.com,4,1
gdaily.org,3,1
Bing,3,1
facebook.com,1,1
