url_path,views_total,views_unique
/hgalytoby/MyselfAnimeDownloader,301,181
/hgalytoby/MyselfAnimeDownloader/releases,73,62
/hgalytoby/MyselfAnimeDownloader/releases/tag/Ver1.1.14,35,31
/hgalytoby/MyselfAnimeDownloader/issues/5,24,22
/hgalytoby/MyselfAnimeDownloader/tree/master/Share,24,16
/hgalytoby/MyselfAnimeDownloader/find/master,18,14
/hgalytoby/MyselfAnimeDownloader/issues/20,17,17
/hgalytoby/MyselfAnimeDownloader/commit/25624a115cee98eb280e92bc820097d939a47b18,16,9
/hgalytoby/MyselfAnimeDownloader/blob/master/main.py,12,9
/hgalytoby/MyselfAnimeDownloader/tree/master/.github/workflows,10,8
