time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-08 00:00:00+00:00,3.0,3.0,20,9
2025-12-09 00:00:00+00:00,12.0,6.0,13,9
2025-12-10 00:00:00+00:00,2.0,2.0,14,7
2025-12-11 00:00:00+00:00,5.0,5.0,8,5
2025-12-12 00:00:00+00:00,9.0,5.0,17,8
2025-12-13 00:00:00+00:00,3.0,3.0,9,6
2025-12-14 00:00:00+00:00,9.0,5.0,23,9
2025-12-15 00:00:00+00:00,7.0,7.0,5,5
2025-12-16 00:00:00+00:00,12.0,8.0,42,8
2025-12-17 00:00:00+00:00,8.0,4.0,16,9
2025-12-18 00:00:00+00:00,3.0,3.0,17,6
2025-12-19 00:00:00+00:00,10.0,6.0,10,5
2025-12-20 00:00:00+00:00,14.0,6.0,21,8
2025-12-21 00:00:00+00:00,,,17,11
