url_path,views_total,views_unique
/hgalytoby/MyselfAnimeDownloader,229,136
/hgalytoby/MyselfAnimeDownloader/releases,75,55
/hgalytoby/MyselfAnimeDownloader/tree/master/Share,38,13
/hgalytoby/MyselfAnimeDownloader/releases/tag/Ver1.1.15,37,27
/hgalytoby/MyselfAnimeDownloader/issues/5,25,23
/hgalytoby/MyselfAnimeDownloader/blob/master/UpdateLog.md,23,9
/hgalytoby/MyselfAnimeDownloader/blob/master/Share/myself.py,14,4
/hgalytoby/MyselfAnimeDownloader/issues,11,6
/hgalytoby/MyselfAnimeDownloader/tree/master/hgalytoby/MyselfAnimeDownloader,9,2
/hgalytoby/MyselfAnimeDownloader/issues/20,8,8
