time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-04 00:00:00+00:00,10,5,1,1
2026-06-05 00:00:00+00:00,13,4,5,2
2026-06-06 00:00:00+00:00,19,10,8,5
2026-06-07 00:00:00+00:00,20,11,20,9
2026-06-08 00:00:00+00:00,10,5,4,3
2026-06-09 00:00:00+00:00,21,11,3,2
2026-06-10 00:00:00+00:00,11,6,2,2
2026-06-11 00:00:00+00:00,14,5,8,5
2026-06-12 00:00:00+00:00,22,9,22,7
2026-06-13 00:00:00+00:00,21,8,12,8
2026-06-14 00:00:00+00:00,33,14,17,7
2026-06-15 00:00:00+00:00,35,9,15,6
2026-06-16 00:00:00+00:00,24,9,20,7
2026-06-17 00:00:00+00:00,15,6,6,2
