url_path,views_total,views_unique
/hgalytoby/MyselfAnimeDownloader,228,139
/hgalytoby/MyselfAnimeDownloader/releases,75,56
/hgalytoby/MyselfAnimeDownloader/tree/master/Share,43,13
/hgalytoby/MyselfAnimeDownloader/issues/5,36,32
/hgalytoby/MyselfAnimeDownloader/releases/tag/Ver1.1.15,36,26
/hgalytoby/MyselfAnimeDownloader/blob/master/Share/myself.py,18,6
/hgalytoby/MyselfAnimeDownloader/issues/20,16,15
/hgalytoby/MyselfAnimeDownloader/blob/master/main.py,13,5
/hgalytoby/MyselfAnimeDownloader/issues,11,6
/hgalytoby/MyselfAnimeDownloader/blob/master/UpdateLog.md,11,5
