url_path,views_total,views_unique
/hgalytoby/MyselfAnimeDownloader,305,179
/hgalytoby/MyselfAnimeDownloader/releases,112,75
/hgalytoby/MyselfAnimeDownloader/releases/tag/Ver1.1.15,70,53
/hgalytoby/MyselfAnimeDownloader/issues/5,26,22
/hgalytoby/MyselfAnimeDownloader/blob/master/UpdateLog.md,22,19
/hgalytoby/MyselfAnimeDownloader/find/master,22,18
/hgalytoby/MyselfAnimeDownloader/issues,19,12
/hgalytoby/MyselfAnimeDownloader/tree/master/Share,18,13
/hgalytoby/MyselfAnimeDownloader/issues/20,10,8
/hgalytoby/MyselfAnimeDownloader/pulls,10,8
