url_path,views_total,views_unique
/hgalytoby/MyselfAnimeDownloader,217,135
/hgalytoby/MyselfAnimeDownloader/releases,65,53
/hgalytoby/MyselfAnimeDownloader/tree/master/Share,46,13
/hgalytoby/MyselfAnimeDownloader/issues/5,44,39
/hgalytoby/MyselfAnimeDownloader/releases/tag/Ver1.1.15,24,18
/hgalytoby/MyselfAnimeDownloader/blob/master/Share/myself.py,18,6
/hgalytoby/MyselfAnimeDownloader/issues/20,13,11
/hgalytoby/MyselfAnimeDownloader/issues,11,5
/hgalytoby/MyselfAnimeDownloader/blob/master/main.py,8,3
/hgalytoby/MyselfAnimeDownloader/tree/master/UI,8,3
