time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-23 00:00:00+00:00,5,3,43,11
2025-03-24 00:00:00+00:00,2,2,43,10
2025-03-25 00:00:00+00:00,8,4,36,13
2025-03-26 00:00:00+00:00,1,1,13,7
2025-03-27 00:00:00+00:00,5,3,24,6
2025-03-28 00:00:00+00:00,5,2,11,6
2025-03-29 00:00:00+00:00,6,3,23,11
2025-03-30 00:00:00+00:00,7,7,14,6
2025-03-31 00:00:00+00:00,6,4,14,12
2025-04-01 00:00:00+00:00,4,3,6,1
2025-04-02 00:00:00+00:00,6,4,22,6
2025-04-03 00:00:00+00:00,6,3,16,11
2025-04-04 00:00:00+00:00,10,5,24,6
2025-04-05 00:00:00+00:00,1,1,35,10
