referrer,views_total,views_unique
Google,368,166
github.com,36,17
l.facebook.com,9,3
mail.google.com,9,1
cn.bing.com,4,1
DuckDuckGo,4,1
Bing,2,2
tw.search.yahoo.com,2,1
