url_path,views_total,views_unique
/hgalytoby/MyselfAnimeDownloader,2474,1069
/hgalytoby/MyselfAnimeDownloader/issues/32,682,116
/hgalytoby/MyselfAnimeDownloader/issues,581,147
/hgalytoby/MyselfAnimeDownloader/releases,481,278
/hgalytoby/MyselfAnimeDownloader/releases/tag/Ver1.1.10,159,109
/hgalytoby/MyselfAnimeDownloader/tree/master/Share,133,109
/hgalytoby/MyselfAnimeDownloader/find/master,110,93
/hgalytoby/MyselfAnimeDownloader/issues/14,101,72
/hgalytoby/MyselfAnimeDownloader/blob/master/UpdateLog.md,95,70
/hgalytoby/MyselfAnimeDownloader/issues/25,91,68
