url_path,views_total,views_unique
/hgalytoby/MyselfAnimeDownloader,161,97
/hgalytoby/MyselfAnimeDownloader/releases,48,37
/hgalytoby/MyselfAnimeDownloader/tree/master/Share,26,11
/hgalytoby/MyselfAnimeDownloader/issues/5,24,24
/hgalytoby/MyselfAnimeDownloader/issues/20,14,13
/hgalytoby/MyselfAnimeDownloader/blob/master/Share/myself.py,12,4
/hgalytoby/MyselfAnimeDownloader/releases/tag/Ver1.1.15,10,7
/hgalytoby/MyselfAnimeDownloader/tree/master,9,4
/hgalytoby/MyselfAnimeDownloader/tree/master/event,9,1
/hgalytoby/MyselfAnimeDownloader/tree/master/.github/workflows,8,3
