time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-30 00:00:00+00:00,14,8,6,4
2025-07-01 00:00:00+00:00,14,8,8,4
2025-07-02 00:00:00+00:00,13,7,17,6
2025-07-03 00:00:00+00:00,15,9,18,8
2025-07-04 00:00:00+00:00,14,7,14,5
2025-07-05 00:00:00+00:00,11,5,28,8
2025-07-06 00:00:00+00:00,11,5,10,6
2025-07-07 00:00:00+00:00,12,6,21,6
2025-07-08 00:00:00+00:00,12,6,6,5
2025-07-09 00:00:00+00:00,17,9,11,6
2025-07-10 00:00:00+00:00,12,6,31,6
2025-07-11 00:00:00+00:00,13,5,17,8
2025-07-12 00:00:00+00:00,13,7,3,3
2025-07-13 00:00:00+00:00,1,1,6,2
