url_path,views_total,views_unique
/hgalytoby/MyselfAnimeDownloader,136,80
/hgalytoby/MyselfAnimeDownloader/releases,65,42
/hgalytoby/MyselfAnimeDownloader/releases/tag/Ver1.1.15,17,12
/hgalytoby/MyselfAnimeDownloader/issues,11,8
/hgalytoby/MyselfAnimeDownloader/tree/master/hgalytoby/MyselfAnimeDownloader,11,4
/hgalytoby/MyselfAnimeDownloader/issues/20,10,9
/hgalytoby/MyselfAnimeDownloader/issues/5,10,9
/hgalytoby/MyselfAnimeDownloader/tree/master/Share,10,4
/hgalytoby/MyselfAnimeDownloader/issues/14,9,6
/hgalytoby/MyselfAnimeDownloader/blob/master/UpdateLog.md,9,4
