url_path,views_total,views_unique
/hgalytoby/MyselfAnimeDownloader,1418,659
/hgalytoby/MyselfAnimeDownloader/releases,383,216
/hgalytoby/MyselfAnimeDownloader/issues,299,89
/hgalytoby/MyselfAnimeDownloader/issues/34,228,47
/hgalytoby/MyselfAnimeDownloader/releases/tag/Ver1.1.13,97,71
/hgalytoby/MyselfAnimeDownloader/blob/master/UpdateLog.md,96,73
/hgalytoby/MyselfAnimeDownloader/issues/32,95,52
/hgalytoby/MyselfAnimeDownloader/releases/tag/Ver1.1.12,87,58
/hgalytoby/MyselfAnimeDownloader/tree/master/Share,83,68
/hgalytoby/MyselfAnimeDownloader/find/master,60,51
