url_path,views_total,views_unique
/hgalytoby/MyselfAnimeDownloader,96,60
/hgalytoby/MyselfAnimeDownloader/releases,29,22
/hgalytoby/MyselfAnimeDownloader/releases/tag/Ver1.1.15,19,16
/hgalytoby/MyselfAnimeDownloader/issues,10,4
/hgalytoby/MyselfAnimeDownloader/issues/48,7,4
/hgalytoby/MyselfAnimeDownloader/issues/20,5,5
/hgalytoby/MyselfAnimeDownloader/issues/5,3,3
/hgalytoby/MyselfAnimeDownloader/tree/master/Share,3,3
/hgalytoby/MyselfAnimeDownloader/blob/master/README.md,3,1
/hgalytoby/MyselfAnimeDownloader/branches,2,2
