time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-26 00:00:00+00:00,1.0,1.0,28,7
2024-12-27 00:00:00+00:00,1.0,1.0,8,7
2024-12-28 00:00:00+00:00,,,8,4
2024-12-29 00:00:00+00:00,,,11,5
2024-12-30 00:00:00+00:00,,,18,7
2024-12-31 00:00:00+00:00,,,18,8
2025-01-01 00:00:00+00:00,,,18,9
2025-01-02 00:00:00+00:00,,,35,8
2025-01-03 00:00:00+00:00,,,5,2
2025-01-04 00:00:00+00:00,,,28,4
2025-01-05 00:00:00+00:00,1.0,1.0,10,3
2025-01-06 00:00:00+00:00,3.0,3.0,18,6
2025-01-07 00:00:00+00:00,2.0,2.0,7,4
2025-01-08 00:00:00+00:00,,,11,3
