time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-31 00:00:00+00:00,3,3,12,8
2025-11-01 00:00:00+00:00,14,4,6,3
2025-11-02 00:00:00+00:00,3,3,15,8
2025-11-03 00:00:00+00:00,14,5,9,5
2025-11-04 00:00:00+00:00,8,5,31,10
2025-11-05 00:00:00+00:00,12,7,7,4
2025-11-06 00:00:00+00:00,10,5,14,11
2025-11-07 00:00:00+00:00,10,4,15,3
2025-11-08 00:00:00+00:00,11,6,22,9
2025-11-09 00:00:00+00:00,10,5,19,9
2025-11-10 00:00:00+00:00,12,5,12,6
2025-11-11 00:00:00+00:00,11,6,12,8
2025-11-12 00:00:00+00:00,5,5,25,7
2025-11-13 00:00:00+00:00,9,4,20,8
