url_path,views_total,views_unique
/hgalytoby/MyselfAnimeDownloader,110,74
/hgalytoby/MyselfAnimeDownloader/releases,42,32
/hgalytoby/MyselfAnimeDownloader/releases/tag/Ver1.1.15,14,12
/hgalytoby/MyselfAnimeDownloader/issues/20,11,10
/hgalytoby/MyselfAnimeDownloader/issues,7,6
/hgalytoby/MyselfAnimeDownloader/tree/master/Share,6,5
/hgalytoby/MyselfAnimeDownloader/blob/master/AboutUI.py,2,2
/hgalytoby/MyselfAnimeDownloader/blob/master/UpdateLog.md,2,2
/hgalytoby/MyselfAnimeDownloader/issues/14,2,2
/hgalytoby/MyselfAnimeDownloader/issues/44,2,2
