time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-26 00:00:00+00:00,5,4,21,8
2025-04-27 00:00:00+00:00,6,3,10,6
2025-04-28 00:00:00+00:00,7,4,8,6
2025-04-29 00:00:00+00:00,3,3,14,5
2025-04-30 00:00:00+00:00,7,4,26,8
2025-05-01 00:00:00+00:00,5,3,23,9
2025-05-02 00:00:00+00:00,3,3,4,3
2025-05-03 00:00:00+00:00,2,2,14,6
2025-05-04 00:00:00+00:00,6,3,12,6
2025-05-05 00:00:00+00:00,6,3,11,8
2025-05-06 00:00:00+00:00,7,4,14,5
2025-05-07 00:00:00+00:00,5,3,4,3
2025-05-08 00:00:00+00:00,5,3,19,10
2025-05-09 00:00:00+00:00,1,1,14,5
