time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-24 00:00:00+00:00,2.0,2.0,43,10
2025-03-25 00:00:00+00:00,8.0,4.0,36,13
2025-03-26 00:00:00+00:00,1.0,1.0,13,7
2025-03-27 00:00:00+00:00,5.0,3.0,24,6
2025-03-28 00:00:00+00:00,5.0,2.0,11,6
2025-03-29 00:00:00+00:00,6.0,3.0,23,11
2025-03-30 00:00:00+00:00,7.0,7.0,14,6
2025-03-31 00:00:00+00:00,6.0,4.0,14,12
2025-04-01 00:00:00+00:00,4.0,3.0,6,1
2025-04-02 00:00:00+00:00,6.0,4.0,22,6
2025-04-03 00:00:00+00:00,6.0,3.0,16,11
2025-04-04 00:00:00+00:00,10.0,5.0,24,6
2025-04-05 00:00:00+00:00,3.0,3.0,35,10
2025-04-06 00:00:00+00:00,,,33,10
