time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-22 00:00:00+00:00,13,5,32,7
2026-03-23 00:00:00+00:00,10,6,21,9
2026-03-24 00:00:00+00:00,10,6,22,9
2026-03-25 00:00:00+00:00,7,3,16,8
2026-03-26 00:00:00+00:00,8,8,14,7
2026-03-27 00:00:00+00:00,8,8,17,11
2026-03-28 00:00:00+00:00,2,2,25,13
2026-03-29 00:00:00+00:00,11,7,7,6
2026-03-30 00:00:00+00:00,12,8,5,4
2026-03-31 00:00:00+00:00,10,6,23,11
2026-04-01 00:00:00+00:00,6,6,19,9
2026-04-02 00:00:00+00:00,9,5,28,12
2026-04-03 00:00:00+00:00,13,9,15,10
2026-04-04 00:00:00+00:00,8,4,16,9
