referrer,views_total,views_unique
Google,1279,344
github.com,230,42
r.lihkg.com,77,44
l.facebook.com,18,4
plurk.com,14,5
DuckDuckGo,10,1
Bing,6,3
com.google.android.gm,5,1
facebook.com,5,1
tw.search.yahoo.com,4,1
