time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-06-16 00:00:00+00:00,2,2,24,10
2023-06-17 00:00:00+00:00,2,2,24,14
2023-06-18 00:00:00+00:00,2,2,79,25
2023-06-19 00:00:00+00:00,1,1,49,14
2023-06-20 00:00:00+00:00,2,2,42,15
2023-06-21 00:00:00+00:00,4,3,28,13
2023-06-22 00:00:00+00:00,4,3,64,19
2023-06-23 00:00:00+00:00,1,1,45,11
2023-06-24 00:00:00+00:00,1,1,68,19
2023-06-25 00:00:00+00:00,1,1,84,24
2023-06-26 00:00:00+00:00,3,3,39,22
2023-06-27 00:00:00+00:00,1,1,30,16
2023-06-28 00:00:00+00:00,3,3,33,13
2023-06-29 00:00:00+00:00,1,1,34,18
