time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-25 00:00:00+00:00,11,5,14,9
2025-07-26 00:00:00+00:00,11,5,5,3
2025-07-27 00:00:00+00:00,13,7,20,7
2025-07-28 00:00:00+00:00,9,3,13,7
2025-07-29 00:00:00+00:00,9,3,7,4
2025-07-30 00:00:00+00:00,9,3,5,3
2025-07-31 00:00:00+00:00,10,4,13,7
2025-08-01 00:00:00+00:00,9,3,11,5
2025-08-02 00:00:00+00:00,8,2,18,6
2025-08-03 00:00:00+00:00,15,8,18,7
2025-08-04 00:00:00+00:00,11,5,7,3
2025-08-05 00:00:00+00:00,9,3,22,5
2025-08-06 00:00:00+00:00,11,5,51,10
2025-08-07 00:00:00+00:00,3,3,18,4
