time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-01 00:00:00+00:00,4,3,6,1
2025-04-02 00:00:00+00:00,6,4,22,6
2025-04-03 00:00:00+00:00,6,3,16,11
2025-04-04 00:00:00+00:00,10,5,24,6
2025-04-05 00:00:00+00:00,3,3,35,10
2025-04-06 00:00:00+00:00,6,3,35,11
2025-04-07 00:00:00+00:00,6,4,14,9
2025-04-08 00:00:00+00:00,1,1,10,1
2025-04-09 00:00:00+00:00,1,1,7,5
2025-04-10 00:00:00+00:00,5,2,16,10
2025-04-11 00:00:00+00:00,4,2,3,3
2025-04-12 00:00:00+00:00,3,2,6,4
2025-04-13 00:00:00+00:00,3,2,15,4
2025-04-14 00:00:00+00:00,2,2,20,6
