url_path,views_total,views_unique
/hgalytoby/MyselfAnimeDownloader,114,58
/hgalytoby/MyselfAnimeDownloader/releases,22,19
/hgalytoby/MyselfAnimeDownloader/releases/tag/Ver1.1.15,9,7
/hgalytoby/MyselfAnimeDownloader/tree/master/Share,5,4
/hgalytoby/MyselfAnimeDownloader/issues,5,3
/hgalytoby/MyselfAnimeDownloader/blob/master/main.py,4,2
/hgalytoby/MyselfAnimeDownloader/discussions/47,2,2
/hgalytoby/MyselfAnimeDownloader/issues/20,2,2
/hgalytoby/MyselfAnimeDownloader/issues/44,2,2
/hgalytoby/MyselfAnimeDownloader/discussions,2,1
