url_path,views_total,views_unique
/hgalytoby/MyselfAnimeDownloader,220,123
/hgalytoby/MyselfAnimeDownloader/releases,67,50
/hgalytoby/MyselfAnimeDownloader/releases/tag/Ver1.1.15,42,31
/hgalytoby/MyselfAnimeDownloader/issues/5,27,26
/hgalytoby/MyselfAnimeDownloader/tree/master/Share,24,8
/hgalytoby/MyselfAnimeDownloader/tree/master/hgalytoby/MyselfAnimeDownloader,18,6
/hgalytoby/MyselfAnimeDownloader/discussions,12,4
/hgalytoby/MyselfAnimeDownloader/commits/master,12,2
/hgalytoby/MyselfAnimeDownloader/issues,11,7
/hgalytoby/MyselfAnimeDownloader/blob/master/README.md,11,3
