url_path,views_total,views_unique
/hgalytoby/MyselfAnimeDownloader,291,177
/hgalytoby/MyselfAnimeDownloader/releases,85,72
/hgalytoby/MyselfAnimeDownloader/releases/tag/Ver1.1.14,24,20
/hgalytoby/MyselfAnimeDownloader/issues/20,23,19
/hgalytoby/MyselfAnimeDownloader/find/master,17,16
/hgalytoby/MyselfAnimeDownloader/issues/5,15,15
/hgalytoby/MyselfAnimeDownloader/blob/master/UpdateLog.md,13,12
/hgalytoby/MyselfAnimeDownloader/commit/25624a115cee98eb280e92bc820097d939a47b18,12,12
/hgalytoby/MyselfAnimeDownloader/issues/14,11,6
/hgalytoby/MyselfAnimeDownloader/issues,10,8
