url_path,views_total,views_unique
/hgalytoby/MyselfAnimeDownloader,88,58
/hgalytoby/MyselfAnimeDownloader/releases,27,23
/hgalytoby/MyselfAnimeDownloader/releases/tag/Ver1.1.15,23,15
/hgalytoby/MyselfAnimeDownloader/forks,13,2
/hgalytoby/MyselfAnimeDownloader/issues,7,6
/hgalytoby/MyselfAnimeDownloader/issues/20,5,3
/hgalytoby/MyselfAnimeDownloader/tree/master/Share,4,4
/hgalytoby/MyselfAnimeDownloader/blob/master/UpdateLog.md,3,3
/hgalytoby/MyselfAnimeDownloader/discussions/47,3,3
/hgalytoby/MyselfAnimeDownloader/issues/40,3,1
