time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-10 00:00:00+00:00,26,9,16,6
2026-05-11 00:00:00+00:00,9,4,23,6
2026-05-12 00:00:00+00:00,20,5,5,5
2026-05-13 00:00:00+00:00,30,7,2,2
2026-05-14 00:00:00+00:00,15,6,18,8
2026-05-15 00:00:00+00:00,20,8,20,9
2026-05-16 00:00:00+00:00,27,10,7,4
2026-05-17 00:00:00+00:00,32,10,7,4
2026-05-18 00:00:00+00:00,31,10,13,5
2026-05-19 00:00:00+00:00,24,10,11,8
2026-05-20 00:00:00+00:00,11,5,4,3
2026-05-21 00:00:00+00:00,19,10,0,0
2026-05-22 00:00:00+00:00,19,9,33,5
2026-05-23 00:00:00+00:00,16,5,7,6
