url_path,views_total,views_unique
/hgalytoby/MyselfAnimeDownloader,242,140
/hgalytoby/MyselfAnimeDownloader/releases,75,55
/hgalytoby/MyselfAnimeDownloader/releases/tag/Ver1.1.15,42,30
/hgalytoby/MyselfAnimeDownloader/tree/master/Share,39,13
/hgalytoby/MyselfAnimeDownloader/blob/master/UpdateLog.md,25,11
/hgalytoby/MyselfAnimeDownloader/issues/20,18,10
/hgalytoby/MyselfAnimeDownloader/issues/5,17,17
/hgalytoby/MyselfAnimeDownloader/tree/master/.github/workflows,15,6
/hgalytoby/MyselfAnimeDownloader/blob/master/hgalytoby/MyselfAnimeDownloader/ghrs-data/snapshots/2022-09-05_024635_top_paths_snapshot.csv,15,2
/hgalytoby/MyselfAnimeDownloader/tree/master,11,6
