url_path,views_total,views_unique
/hgalytoby/MyselfAnimeDownloader,165,101
/hgalytoby/MyselfAnimeDownloader/releases,44,35
/hgalytoby/MyselfAnimeDownloader/tree/master/Share,31,11
/hgalytoby/MyselfAnimeDownloader/issues/5,26,26
/hgalytoby/MyselfAnimeDownloader/issues/20,16,15
/hgalytoby/MyselfAnimeDownloader/releases/tag/Ver1.1.15,12,9
/hgalytoby/MyselfAnimeDownloader/tree/master,8,5
/hgalytoby/MyselfAnimeDownloader/blob/master/Share/myself.py,6,2
/hgalytoby/MyselfAnimeDownloader/tree/master/.github/workflows,6,2
/hgalytoby/MyselfAnimeDownloader/blob/master/main.py,5,2
