url_path,views_total,views_unique
/hgalytoby/MyselfAnimeDownloader,157,92
/hgalytoby/MyselfAnimeDownloader/releases,17,14
/hgalytoby/MyselfAnimeDownloader/issues,15,7
/hgalytoby/MyselfAnimeDownloader/releases/tag/Ver1.1.15,13,12
/hgalytoby/MyselfAnimeDownloader/discussions/47,13,2
/hgalytoby/MyselfAnimeDownloader/discussions/36,10,1
/hgalytoby/MyselfAnimeDownloader/tree/master/Share,6,5
/hgalytoby/MyselfAnimeDownloader/issues/44,5,4
/hgalytoby/MyselfAnimeDownloader/discussions,5,2
/hgalytoby/MyselfAnimeDownloader/issues/48,5,1
