url_path,views_total,views_unique
/hgalytoby/MyselfAnimeDownloader,185,94
/hgalytoby/MyselfAnimeDownloader/releases,41,34
/hgalytoby/MyselfAnimeDownloader/releases/tag/Ver1.1.15,23,20
/hgalytoby/MyselfAnimeDownloader/issues,20,10
/hgalytoby/MyselfAnimeDownloader/issues/20,11,11
/hgalytoby/MyselfAnimeDownloader/tree/master/Share,11,6
/hgalytoby/MyselfAnimeDownloader/issues/14,9,6
/hgalytoby/MyselfAnimeDownloader/blob/master/UpdateLog.md,6,5
/hgalytoby/MyselfAnimeDownloader/branches,5,5
/hgalytoby/MyselfAnimeDownloader/issues/44,4,4
